Dr. Aziz Qaroush,"[Machine Learning,Artificial Intelligence,Machine Vision,Language Processing]"
Dr. Mohammad Jubran,"[Communication,Machine Learning,Artificial Intelligence,Machine Vision,Networks]"
Dr. Abulsaoud Hanani,"[Mobile Application,Signals,Digital Signal Processing,Communication,Image Processing]"
Dr. Hanna Bullata,"[Realtime Systems,Hardware,Artificial Intelligence,Machine Learning,Operating Systems,Robotics]"
Dr. Ahmad Afaneh,"[Realtime Systems,Embedded Systems,Artificial Intelligence]"
Dr. Adnan Yahya,"[Image Processing,Information Retrieval,Computer Vision,Operating Systems]"
Dr. Mohammad Hussein,"[Networks,Security]"
Dr. Ahmad Alsaadeh,"[Security,Mobile Application]"
Dr. Khader Mohammad,"[Artificial Intelligence,Image Processing]"
Dr. Wael Hashlamoun,"[Communication,Networks]"
Dr. Ashraf Rimawi,"[Communication,Networks,Digital Signal Processing,Image Processing]"
Dr. Nofal Nofal,"[Hardware,Communication]"
Dr. Mohammad Aljubeh,"[Hardware,Electronics]"
Dr. Jaser Saed,"[Power Systems,Networks,Mobile Application]"
Dr. Abdullatif Abu Issa,"[Mobile Application,Hardware]"
Dr. Abdelkarim Awwad,"[Hardware,Mobile Applications,Networks]"
Dr. Wasel Ghanem,"[Security,Interface,Mobile Applications]"
Dr. Abdulsalam Sayad,"[Hardware]"
